Id,Id2,Geography,Total,Margin of Error; Total
1500000US060871001001,060871001001,"Block Group 1, Census Tract 1001, Santa Cruz County, California",301,44
1500000US060871001002,060871001002,"Block Group 2, Census Tract 1001, Santa Cruz County, California",469,46
1500000US060871002001,060871002001,"Block Group 1, Census Tract 1002, Santa Cruz County, California",311,96
1500000US060871002002,060871002002,"Block Group 2, Census Tract 1002, Santa Cruz County, California",338,104
1500000US060871002003,060871002003,"Block Group 3, Census Tract 1002, Santa Cruz County, California",530,112
1500000US060871002004,060871002004,"Block Group 4, Census Tract 1002, Santa Cruz County, California",259,91
1500000US060871002005,060871002005,"Block Group 5, Census Tract 1002, Santa Cruz County, California",568,106
1500000US060871002006,060871002006,"Block Group 6, Census Tract 1002, Santa Cruz County, California",428,136
1500000US060871002007,060871002007,"Block Group 7, Census Tract 1002, Santa Cruz County, California",255,177
1500000US060871003001,060871003001,"Block Group 1, Census Tract 1003, Santa Cruz County, California",611,71
1500000US060871003002,060871003002,"Block Group 2, Census Tract 1003, Santa Cruz County, California",725,86
1500000US060871004001,060871004001,"Block Group 1, Census Tract 1004, Santa Cruz County, California",178,35
1500000US060871004002,060871004002,"Block Group 2, Census Tract 1004, Santa Cruz County, California",0,12
1500000US060871004003,060871004003,"Block Group 3, Census Tract 1004, Santa Cruz County, California",281,45
1500000US060871005001,060871005001,"Block Group 1, Census Tract 1005, Santa Cruz County, California",525,91
1500000US060871005002,060871005002,"Block Group 2, Census Tract 1005, Santa Cruz County, California",817,118
1500000US060871005003,060871005003,"Block Group 3, Census Tract 1005, Santa Cruz County, California",924,158
1500000US060871006001,060871006001,"Block Group 1, Census Tract 1006, Santa Cruz County, California",653,89
1500000US060871006002,060871006002,"Block Group 2, Census Tract 1006, Santa Cruz County, California",437,78
1500000US060871006003,060871006003,"Block Group 3, Census Tract 1006, Santa Cruz County, California",297,60
1500000US060871007001,060871007001,"Block Group 1, Census Tract 1007, Santa Cruz County, California",351,58
1500000US060871007002,060871007002,"Block Group 2, Census Tract 1007, Santa Cruz County, California",705,69
1500000US060871008001,060871008001,"Block Group 1, Census Tract 1008, Santa Cruz County, California",545,107
1500000US060871008002,060871008002,"Block Group 2, Census Tract 1008, Santa Cruz County, California",381,118
1500000US060871008003,060871008003,"Block Group 3, Census Tract 1008, Santa Cruz County, California",533,140
1500000US060871008004,060871008004,"Block Group 4, Census Tract 1008, Santa Cruz County, California",832,183
1500000US060871008005,060871008005,"Block Group 5, Census Tract 1008, Santa Cruz County, California",543,121
1500000US060871008006,060871008006,"Block Group 6, Census Tract 1008, Santa Cruz County, California",261,104
1500000US060871009001,060871009001,"Block Group 1, Census Tract 1009, Santa Cruz County, California",477,117
1500000US060871009002,060871009002,"Block Group 2, Census Tract 1009, Santa Cruz County, California",837,135
1500000US060871009003,060871009003,"Block Group 3, Census Tract 1009, Santa Cruz County, California",306,85
1500000US060871009004,060871009004,"Block Group 4, Census Tract 1009, Santa Cruz County, California",336,100
1500000US060871009005,060871009005,"Block Group 5, Census Tract 1009, Santa Cruz County, California",345,121
1500000US060871010001,060871010001,"Block Group 1, Census Tract 1010, Santa Cruz County, California",825,159
