Id,Id2,Geography,Total,Margin of Error; Total
1500000US060871217004,060871217004,"Block Group 4, Census Tract 1217, Santa Cruz County, California",1124,161
1500000US060871217005,060871217005,"Block Group 5, Census Tract 1217, Santa Cruz County, California",282,89
1500000US060871217006,060871217006,"Block Group 6, Census Tract 1217, Santa Cruz County, California",416,118
1500000US060871218001,060871218001,"Block Group 1, Census Tract 1218, Santa Cruz County, California",789,143
1500000US060871218002,060871218002,"Block Group 2, Census Tract 1218, Santa Cruz County, California",838,138
1500000US060871218003,060871218003,"Block Group 3, Census Tract 1218, Santa Cruz County, California",885,201
1500000US060871218004,060871218004,"Block Group 4, Census Tract 1218, Santa Cruz County, California",212,85
1500000US060871220011,060871220011,"Block Group 1, Census Tract 1220.01, Santa Cruz County, California",568,95
1500000US060871220012,060871220012,"Block Group 2, Census Tract 1220.01, Santa Cruz County, California",194,68
1500000US060871220013,060871220013,"Block Group 3, Census Tract 1220.01, Santa Cruz County, California",326,92
1500000US060871220014,060871220014,"Block Group 4, Census Tract 1220.01, Santa Cruz County, California",255,64
1500000US060871220015,060871220015,"Block Group 5, Census Tract 1220.01, Santa Cruz County, California",652,93
1500000US060871220021,060871220021,"Block Group 1, Census Tract 1220.02, Santa Cruz County, California",956,90
1500000US060871220022,060871220022,"Block Group 2, Census Tract 1220.02, Santa Cruz County, California",499,79
1500000US060871220031,060871220031,"Block Group 1, Census Tract 1220.03, Santa Cruz County, California",497,124
1500000US060871220032,060871220032,"Block Group 2, Census Tract 1220.03, Santa Cruz County, California",491,107
1500000US060871220033,060871220033,"Block Group 3, Census Tract 1220.03, Santa Cruz County, California",1051,127
1500000US060871220034,060871220034,"Block Group 4, Census Tract 1220.03, Santa Cruz County, California",389,102
1500000US060871220035,060871220035,"Block Group 5, Census Tract 1220.03, Santa Cruz County, California",351,112
1500000US060871221001,060871221001,"Block Group 1, Census Tract 1221, Santa Cruz County, California",689,109
1500000US060871221002,060871221002,"Block Group 2, Census Tract 1221, Santa Cruz County, California",705,101
1500000US060871221003,060871221003,"Block Group 3, Census Tract 1221, Santa Cruz County, California",561,100
1500000US060871222011,060871222011,"Block Group 1, Census Tract 1222.01, Santa Cruz County, California",474,98
1500000US060871222012,060871222012,"Block Group 2, Census Tract 1222.01, Santa Cruz County, California",888,142
1500000US060871222013,060871222013,"Block Group 3, Census Tract 1222.01, Santa Cruz County, California",594,118
1500000US060871222014,060871222014,"Block Group 4, Census Tract 1222.01, Santa Cruz County, California",281,108
1500000US060871222015,060871222015,"Block Group 5, Census Tract 1222.01, Santa Cruz County, California",410,131
1500000US060871222016,060871222016,"Block Group 6, Census Tract 1222.01, Santa Cruz County, California",593,106
1500000US060871222017,060871222017,"Block Group 7, Census Tract 1222.01, Santa Cruz County, California",249,92
1500000US060871222021,060871222021,"Block Group 1, Census Tract 1222.02, Santa Cruz County, California",945,54
1500000US060871222031,060871222031,"Block Group 1, Census Tract 1222.03, Santa Cruz County, California",960,91
1500000US060871222032,060871222032,"Block Group 2, Census Tract 1222.03, Santa Cruz County, California",813,90
1500000US060871223001,060871223001,"Block Group 1, Census Tract 1223, Santa Cruz County, California",908,145
1500000US060871223002,060871223002,"Block Group 2, Census Tract 1223, Santa Cruz County, California",459,105
1500000US060871223003,060871223003,"Block Group 3, Census Tract 1223, Santa Cruz County, California",959,108
1500000US060871224001,060871224001,"Block Group 1, Census Tract 1224, Santa Cruz County, California",824,160
1500000US060871224002,060871224002,"Block Group 2, Census Tract 1224, Santa Cruz County, California",328,86
1500000US060871224003,060871224003,"Block Group 3, Census Tract 1224, Santa Cruz County, California",414,91
1500000US060871224004,060871224004,"Block Group 4, Census Tract 1224, Santa Cruz County, California",545,127
1500000US060871224005,060871224005,"Block Group 5, Census Tract 1224, Santa Cruz County, California",313,98
1500000US060871224006,060871224006,"Block Group 6, Census Tract 1224, Santa Cruz County, California",395,131
1500000US060871225001,060871225001,"Block Group 1, Census Tract 1225, Santa Cruz County, California",323,87
1500000US060871225002,060871225002,"Block Group 2, Census Tract 1225, Santa Cruz County, California",478,97
1500000US060871225003,060871225003,"Block Group 3, Census Tract 1225, Santa Cruz County, California",486,110
1500000US060871225004,060871225004,"Block Group 4, Census Tract 1225, Santa Cruz County, California",318,86
1500000US060871231001,060871231001,"Block Group 1, Census Tract 1231, Santa Cruz County, California",452,63
1500000US060871231002,060871231002,"Block Group 2, Census Tract 1231, Santa Cruz County, California",379,70
1500000US060871233001,060871233001,"Block Group 1, Census Tract 1233, Santa Cruz County, California",479,42
1500000US060879901000,060879901000,"Block Group 0, Census Tract 9901, Santa Cruz County, California",0,12
