GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
1500000US060871001001,060871001001,"Block Group 1, Census Tract 1001, Santa Cruz County, California",287,43,260,47,27,30
1500000US060871001002,060871001002,"Block Group 2, Census Tract 1001, Santa Cruz County, California",433,48,378,49,55,33
1500000US060871002001,060871002001,"Block Group 1, Census Tract 1002, Santa Cruz County, California",262,89,191,88,71,82
1500000US060871002002,060871002002,"Block Group 2, Census Tract 1002, Santa Cruz County, California",300,95,188,102,112,81
1500000US060871002003,060871002003,"Block Group 3, Census Tract 1002, Santa Cruz County, California",530,112,339,93,191,110
1500000US060871002004,060871002004,"Block Group 4, Census Tract 1002, Santa Cruz County, California",259,91,161,90,98,72
1500000US060871002005,060871002005,"Block Group 5, Census Tract 1002, Santa Cruz County, California",556,104,169,64,387,112
1500000US060871002006,060871002006,"Block Group 6, Census Tract 1002, Santa Cruz County, California",402,124,36,37,366,132
1500000US060871002007,060871002007,"Block Group 7, Census Tract 1002, Santa Cruz County, California",255,177,58,55,197,159
1500000US060871003001,060871003001,"Block Group 1, Census Tract 1003, Santa Cruz County, California",546,90,316,69,230,87
1500000US060871003002,060871003002,"Block Group 2, Census Tract 1003, Santa Cruz County, California",682,75,480,75,202,79
1500000US060871004001,060871004001,"Block Group 1, Census Tract 1004, Santa Cruz County, California",145,29,132,27,13,11
1500000US060871004002,060871004002,"Block Group 2, Census Tract 1004, Santa Cruz County, California",0,12,0,12,0,12
1500000US060871004003,060871004003,"Block Group 3, Census Tract 1004, Santa Cruz County, California",232,57,11,12,221,56
1500000US060871005001,060871005001,"Block Group 1, Census Tract 1005, Santa Cruz County, California",476,87,258,85,218,109
1500000US060871005002,060871005002,"Block Group 2, Census Tract 1005, Santa Cruz County, California",817,118,480,119,337,96
1500000US060871005003,060871005003,"Block Group 3, Census Tract 1005, Santa Cruz County, California",882,158,376,107,506,146
1500000US060871006001,060871006001,"Block Group 1, Census Tract 1006, Santa Cruz County, California",569,100,327,75,242,76
1500000US060871006002,060871006002,"Block Group 2, Census Tract 1006, Santa Cruz County, California",426,80,266,76,160,71
1500000US060871006003,060871006003,"Block Group 3, Census Tract 1006, Santa Cruz County, California",286,61,216,53,70,54
1500000US060871007001,060871007001,"Block Group 1, Census Tract 1007, Santa Cruz County, California",330,59,163,45,167,48
1500000US060871007002,060871007002,"Block Group 2, Census Tract 1007, Santa Cruz County, California",549,86,70,38,479,91
1500000US060871008001,060871008001,"Block Group 1, Census Tract 1008, Santa Cruz County, California",545,107,148,94,397,114
1500000US060871008002,060871008002,"Block Group 2, Census Tract 1008, Santa Cruz County, California",381,118,97,49,284,121
1500000US060871008003,060871008003,"Block Group 3, Census Tract 1008, Santa Cruz County, California",533,140,116,66,417,131
1500000US060871008004,060871008004,"Block Group 4, Census Tract 1008, Santa Cruz County, California",745,189,90,81,655,184
1500000US060871008005,060871008005,"Block Group 5, Census Tract 1008, Santa Cruz County, California",459,100,217,78,242,96
1500000US060871008006,060871008006,"Block Group 6, Census Tract 1008, Santa Cruz County, California",229,112,100,86,129,89
1500000US060871009001,060871009001,"Block Group 1, Census Tract 1009, Santa Cruz County, California",428,102,367,97,61,38
1500000US060871009002,060871009002,"Block Group 2, Census Tract 1009, Santa Cruz County, California",821,134,233,98,588,116
1500000US060871009003,060871009003,"Block Group 3, Census Tract 1009, Santa Cruz County, California",266,80,64,46,202,69
1500000US060871009004,060871009004,"Block Group 4, Census Tract 1009, Santa Cruz County, California",197,77,126,65,71,51
1500000US060871009005,060871009005,"Block Group 5, Census Tract 1009, Santa Cruz County, California",214,99,16,26,198,95
1500000US060871010001,060871010001,"Block Group 1, Census Tract 1010, Santa Cruz County, California",783,153,49,59,734,150
1500000US060871010002,060871010002,"Block Group 2, Census Tract 1010, Santa Cruz County, California",233,94,37,34,196,92
1500000US060871010003,060871010003,"Block Group 3, Census Tract 1010, Santa Cruz County, California",263,92,89,46,174,87
1500000US060871010004,060871010004,"Block Group 4, Census Tract 1010, Santa Cruz County, California",188,107,14,25,174,102
1500000US060871010005,060871010005,"Block Group 5, Census Tract 1010, Santa Cruz County, California",210,64,146,75,64,35
1500000US060871010006,060871010006,"Block Group 6, Census Tract 1010, Santa Cruz County, California",1128,232,226,86,902,227
1500000US060871010007,060871010007,"Block Group 7, Census Tract 1010, Santa Cruz County, California",589,177,59,40,530,175
1500000US060871011001,060871011001,"Block Group 1, Census Tract 1011, Santa Cruz County, California",334,86,169,63,165,87
1500000US060871011002,060871011002,"Block Group 2, Census Tract 1011, Santa Cruz County, California",395,100,88,44,307,109
1500000US060871011003,060871011003,"Block Group 3, Census Tract 1011, Santa Cruz County, California",313,79,210,77,103,96
1500000US060871011004,060871011004,"Block Group 4, Census Tract 1011, Santa Cruz County, California",560,135,249,70,311,112
1500000US060871011005,060871011005,"Block Group 5, Census Tract 1011, Santa Cruz County, California",417,106,253,110,164,92
1500000US060871012001,060871012001,"Block Group 1, Census Tract 1012, Santa Cruz County, California",275,70,116,52,159,61
1500000US060871012002,060871012002,"Block Group 2, Census Tract 1012, Santa Cruz County, California",395,63,294,79,101,54
1500000US060871012003,060871012003,"Block Group 3, Census Tract 1012, Santa Cruz County, California",518,87,365,69,153,67
1500000US060871101001,060871101001,"Block Group 1, Census Tract 1101, Santa Cruz County, California",416,156,114,86,302,134
1500000US060871101002,060871101002,"Block Group 2, Census Tract 1101, Santa Cruz County, California",332,118,158,81,174,108
1500000US060871101003,060871101003,"Block Group 3, Census Tract 1101, Santa Cruz County, California",548,149,309,116,239,115
1500000US060871101004,060871101004,"Block Group 4, Census Tract 1101, Santa Cruz County, California",1241,175,827,162,414,147
1500000US060871102001,060871102001,"Block Group 1, Census Tract 1102, Santa Cruz County, California",403,108,158,76,245,98
1500000US060871102002,060871102002,"Block Group 2, Census Tract 1102, Santa Cruz County, California",546,121,281,121,265,119
1500000US060871102003,060871102003,"Block Group 3, Census Tract 1102, Santa Cruz County, California",316,101,122,49,194,101
1500000US060871102004,060871102004,"Block Group 4, Census Tract 1102, Santa Cruz County, California",383,115,170,90,213,106
